nomor_kelurahan;nama_kelurahan;laki_laki;perempuan;jumlah_penduduk;jumlah_luas_wilayah_(km2);jumlah_kepadatan_(jiwa/km2);umur_15-19;umur_20-24;umur_25-29;umur_30-34;umur_35-39;umur_40-44;Economic_status;persentase_umur_15_34
317481006;CIKOKO;6353;6224;12577;72;1828846422;923;895;903;1108;1291;1230;6;0.304444621
317461001;CILANDAK BARAT;29184;29052;58236;605;1044376447;5081;4357;4399;4756;5672;5330;6;0.319269867
317441003;CILANDAK TIMUR;14894;13843;28737;353;8988544207;2297;2603;2572;2752;3017;2711;6;0.355778265
3175101002;CILANGKAP;14890;14514;29404;604;57464294;2752;1452;2700;2772;2952;2820;2;0.329070875
317541006;CILILITAN;23662;22985;46647;176;2850929669;1922;3742;2019;4110;2527;4127;2;0.252813686
317241001;CILINCING;26663;25682;52345;631;8846415842;4274;2252;4571;4947;5595;4394;4;0.306504919
3175101001;CIPAYUNG;15007;14210;29217;309;1059254457;1208;2366;2575;2806;3000;1416;2;0.306499641
317491006;CIPEDAK;20423;20187;40610;397;120591865;3862;1866;3426;3608;4277;4007;6;0.314257572
317461005;CIPETE SELATAN;15497;15310;30807;232;141144555;1437;2480;1297;2594;2879;2718;6;0.253448891
317471010;CIPETE UTARA;19847;19384;39231;183;2314136986;3326;3088;3021;3380;3981;3751;6;0.326654941
317521003;CIPINANG;23471;23142;46613;153;3187189542;3678;3525;3607;2056;4289;4103;2;0.27601742
317531007;CIPINANG BESAR SELATAN;20490;19815;40305;163;2722984193;3429;1823;3416;3754;3986;1923;2;0.308199975
317531008;CIPINANG BESAR UTARA;29367;27712;57079;115;5130642361;4660;4495;2602;4945;5585;4887;2;0.292611994
317531005;CIPINANG CEMPEDAK;18911;19031;37942;129;3096046512;1625;2940;2825;2909;3281;3193;2;0.27144062
317581005;CIPINANG MELAYU;24741;24393;49134;253;2090707702;4102;2001;3878;4255;4847;2368;2;0.289738267
317531006;CIPINANG MUARA;32381;31652;64033;29;2385043178;4922;4612;4962;5668;6603;3284;2;0.31490013
317451003;CIPULIR;22990;22587;45577;193;2566890843;2165;3544;3532;3903;4561;4350;6;0.288391074
317591001;CIRACAS;36756;35583;72339;393;2062387095;6253;6192;6391;6811;7383;6280;2;0.354539045
317541003;DUKUH;14098;13774;27872;198;1573628149;1320;2190;2314;2653;2860;2538;2;0.304140356
317571001;DUREN SAWIT;34378;34133;68511;456;166539348;5733;5124;5428;6136;7227;6502;2;0.327261316
317481004;DUREN TIGA;16388;15820;32208;192;1802442827;2600;2525;2500;1414;1702;2971;6;0.28064456
317351005;DURI KEPA;33479;33452;66931;387;1911421189;2751;4815;5633;6758;7484;6150;3;0.298172745
317311002;DURI KOSAMBI;43645;42713;86358;591;1664162437;7242;7166;8044;8447;9054;3999;3;0.357801246
317111006;DURI PULO;12798;12346;25144;71;3621411399;2090;1911;1867;2040;2218;2035;5;0.314508431
317341011;DURI SELATAN;8544;8344;16888;34;5094169096;1385;1271;1315;1487;1610;1409;3;0.323188063
317341003;DURI UTARA;11921;11433;23354;41;6021481481;1833;1765;1915;2101;2303;2004;3;0.32602552
317181003;GALUR;12076;11157;23233;26;8865267176;1880;1756;1803;1948;2076;1928;5;0.317952912
317111001;GAMBIR;1623;1550;3173;258;1196376026;231;265;231;243;273;250;5;0.305704381
317461004;GANDARIA SELATAN;12594;12683;25277;177;1533954802;2135;1885;1933;2152;2475;2243;6;0.320647229
